shipment_id,origin_city,destination_city,cargo_type,weight_tons,declared_value_usd,priority_level,planned_duration_hours,status,risk_flag,actual_duration_hours,weather_severity_avg,total_legs,total_distance_km,total_fuel_cost_usd,avg_leg_delay_minutes,dominant_mode,vehicle_avg_maintenance_score
082b56b0-5f77-460a-b428-419369e73591,Los Angeles,Seattle,Food,27.34,425145.92,Medium,33,On-Time,1,33,2.5638977635782747,4,8457.8,6973.789999999999,39.25,Rail,0.7552486187845303
766da4ce-a678-4107-ae9a-75a5a0f37638,Houston,Atlanta,Food,21.08,252313.35,High,37,On-Time,1,37,2.5463258785942493,4,3307.38,10119.210000000001,150.75,Truck,0.7637579617834395
54bb0fa4-ba4d-4b60-9984-997390c1b13f,New York,Atlanta,Retail,38.76,105778.15,Low,99,On-Time,0,97,2.5054095826893352,3,5567.710000000001,9904.32,97.0,Truck,0.7637579617834395
037f80af-5bc2-40c9-ae1e-2e3a1a660854,Los Angeles,Dallas,Electronics,12.66,370954.48,Medium,119,Delayed,0,132,2.5638977635782747,3,4906.08,3108.99,44.333333333333336,Rail,0.7552486187845303
5b92f540-0779-473c-8185-1b08c222e87a,Los Angeles,Miami,Electronics,25.57,215152.29,Medium,62,Delayed,1,73,2.5638977635782747,4,6190.9,8134.35,95.5,Rail,0.7552486187845303
84b81aef-2bd4-423c-9a77-41d90d5f964b,Houston,Atlanta,Automotive,29.51,301367.47,Low,59,On-Time,1,58,2.5463258785942493,4,9807.84,7758.03,86.0,Rail,0.7552486187845303
601f8e7b-4f2d-4413-8d89-5968a3bc3a43,New York,Dallas,Retail,33.89,62559.99,Medium,74,On-Time,0,71,2.5054095826893352,3,7771.639999999999,6891.99,80.66666666666667,Rail,0.7552486187845303
c12b7d85-aa5e-46a3-ae15-eb3ad35defbc,New York,Seattle,Automotive,19.24,319476.15,Medium,73,Delayed,0,102,2.5054095826893352,3,4477.34,10298.73,121.66666666666667,Ship,0.7623456790123457
9e5d99c4-14e7-4678-a1f4-bb25f8b63f5e,Los Angeles,Seattle,Food,29.04,193039.74,Low,38,On-Time,0,38,2.5638977635782747,3,4967.32,8842.93,49.0,Rail,0.7552486187845303
247d3d7c-4069-453a-b8cc-6c3d51aff5df,Chicago,Seattle,Electronics,15.61,173752.98,Low,82,Delayed,1,103,2.458267716535433,1,1552.53,3874.65,1.0,Truck,0.7637579617834395
0cf31038-7787-458e-b47e-7b600b3314fc,Los Angeles,Seattle,Automotive,20.24,490158.63,Medium,56,Delayed,1,71,2.5638977635782747,4,7399.37,8657.83,95.25,Truck,0.7637579617834395
02c27459-d68f-407d-8767-e61b236ac4a2,Los Angeles,Dallas,Automotive,36.35,221891.01,Medium,103,Delayed,1,112,2.5638977635782747,1,1575.25,817.67,8.0,Rail,0.7552486187845303
5d512b70-634f-4ee1-b277-13f907e208e8,Los Angeles,Miami,Electronics,38.25,342238.81,Medium,91,Delayed,1,104,2.5638977635782747,3,3317.08,8719.69,120.66666666666667,Rail,0.7552486187845303
95f50237-f949-4740-84de-894b4dd10c59,Los Angeles,Dallas,Food,30.16,317586.49,Low,77,Delayed,0,89,2.5638977635782747,1,743.69,4754.62,94.0,Ship,0.7623456790123457
17372a70-f08e-4a8c-9c0c-64ceaf0a8020,Houston,Miami,Automotive,18.1,61108.74,Medium,74,Delayed,0,87,2.5463258785942493,2,2351.5299999999997,1556.05,89.5,Rail,0.7552486187845303
77621ffa-65a6-486d-8c23-e5420e4a9d38,New York,Seattle,Automotive,33.7,376484.49,Low,26,On-Time,1,23,2.5054095826893352,1,1241.64,690.87,176.0,Truck,0.7637579617834395
a54eadda-cbef-4ee7-8295-d5bd2b1d4085,Houston,Atlanta,Retail,5.91,168348.01,Medium,113,Delayed,1,142,2.5463258785942493,4,6665.8,10926.49,111.0,Rail,0.7552486187845303
ac8a00da-58ed-4f7a-9ca6-7dbfb18dda26,Houston,Atlanta,Retail,8.6,401480.38,High,57,On-Time,0,55,2.5463258785942493,2,3290.45,4165.23,112.0,Rail,0.7552486187845303
2f41988f-bdef-4474-980d-6893a541e75b,Houston,Atlanta,Electronics,28.15,307743.98,Medium,65,On-Time,0,64,2.5463258785942493,4,5962.35,11071.99,115.75,Rail,0.7552486187845303
a020e17f-6afc-413a-a793-3e1eecac0c32,Los Angeles,Miami,Electronics,15.19,165374.83,Medium,32,Delayed,1,46,2.5638977635782747,4,2367.37,5565.32,88.5,Ship,0.7623456790123457
c50403d1-4743-4bd5-8aa5-12b54f8667d3,Chicago,Seattle,Food,38.3,184583.55,Medium,37,Delayed,0,65,2.458267716535433,4,10444.15,10625.66,63.75,Ship,0.7623456790123457
0913c04b-f34f-415c-84e2-283d026b3988,New York,Dallas,Food,20.26,368438.61,High,120,On-Time,1,117,2.5054095826893352,2,3630.5,1415.77,78.0,Truck,0.7637579617834395
b2dd0503-885f-4ca5-bed3-733eeb6aa9b8,Chicago,Atlanta,Automotive,20.03,279529.06,Low,28,On-Time,0,24,2.458267716535433,4,6967.25,11216.81,77.75,Ship,0.7623456790123457
75da7fb8-2547-43e2-948c-58a20f99a0d9,Houston,Miami,Retail,28.73,337492.01,Medium,115,On-Time,0,112,2.5463258785942493,4,5342.7,9447.83,89.25,Ship,0.7623456790123457
bfe2af23-3316-4a51-a584-2d33554844d9,Houston,Atlanta,Food,31.86,87575.98,Low,56,Delayed,1,84,2.5463258785942493,2,5318.13,4707.79,63.5,Rail,0.7552486187845303
3dc19644-e603-4100-8489-6889175df652,Chicago,Dallas,Automotive,21.64,395618.57,Low,104,Delayed,0,122,2.458267716535433,4,4856.12,6614.78,73.5,Rail,0.7552486187845303
b11a9766-7f91-4d97-8f51-3d5c7762492c,Chicago,Seattle,Automotive,12.49,166991.75,High,108,On-Time,1,108,2.458267716535433,1,903.97,469.53,14.0,Truck,0.7637579617834395
28225a1a-c7fd-4307-b997-9e9e05614ccc,Chicago,Dallas,Electronics,32.07,313732.02,High,30,Delayed,1,48,2.458267716535433,3,5200.97,8060.07,102.0,Rail,0.7552486187845303
12b06e4e-af6a-4697-87b9-74dd00afff42,Houston,Seattle,Retail,16.21,66193.11,Medium,63,On-Time,1,61,2.5463258785942493,2,2858.74,6836.46,113.5,Rail,0.7552486187845303
b12b94f8-9ccb-4a43-a747-941b45209757,Houston,Seattle,Automotive,11.13,167495.92,Medium,58,Delayed,1,71,2.5463258785942493,3,2668.4700000000003,10749.68,121.66666666666667,Rail,0.7552486187845303
2f1139fe-9054-47df-ab8e-5718ae37b601,New York,Seattle,Electronics,27.11,327944.97,High,94,On-Time,1,94,2.5054095826893352,2,1062.51,4146.219999999999,44.5,Rail,0.7552486187845303
bbe2e74e-2c95-4e88-8d09-4dba5dca3a0d,New York,Atlanta,Automotive,8.17,144361.0,High,31,Delayed,1,46,2.5054095826893352,1,1503.06,3131.19,74.0,Ship,0.7623456790123457
81457c88-f8dd-4602-935c-4af2d6a1ff0b,Houston,Dallas,Retail,39.0,441352.98,Medium,83,On-Time,0,80,2.5463258785942493,3,5595.07,11713.29,135.33333333333334,Rail,0.7552486187845303
5481e3ec-49cc-4e1d-ae60-882fa828c377,Chicago,Atlanta,Automotive,27.13,334001.92,Medium,65,On-Time,0,62,2.458267716535433,3,3805.66,6882.02,134.33333333333334,Rail,0.7552486187845303
2de4af54-ad71-44d5-85ab-95bbba68808f,Chicago,Dallas,Automotive,39.51,436436.41,Low,118,On-Time,1,114,2.458267716535433,4,8208.0,7639.1,49.0,Truck,0.7637579617834395
3f2d66f9-6e73-4be2-a9a6-54d3d5ad084a,New York,Miami,Food,16.86,203741.44,Medium,28,Delayed,0,37,2.5054095826893352,3,3225.75,7493.47,128.33333333333334,Truck,0.7637579617834395
14fd82c7-f79c-48e5-b4ec-5cbfb6bb2e4d,Houston,Miami,Food,38.99,26652.72,High,83,On-Time,0,81,2.5463258785942493,2,2108.21,4386.92,93.5,Ship,0.7623456790123457
2ecee383-00c1-4c4a-a89d-3f98e10658a8,New York,Dallas,Electronics,10.09,292308.58,Low,28,Delayed,1,46,2.5054095826893352,2,3910.13,7358.16,139.0,Ship,0.7623456790123457
d8660492-8a31-41f9-a1fd-765ab283fbd6,New York,Dallas,Automotive,6.42,176204.82,Low,111,On-Time,0,107,2.5054095826893352,1,1910.8,1345.07,153.0,Ship,0.7623456790123457
f7f0eec2-1976-4d61-9f24-3201b4f92305,Los Angeles,Dallas,Electronics,6.15,229612.3,Low,109,Delayed,1,121,2.5638977635782747,1,1874.29,653.97,171.0,Truck,0.7637579617834395
f76cbff6-d928-4f30-8b58-f90fa284d091,Los Angeles,Dallas,Retail,21.27,343744.0,Low,67,Delayed,0,91,2.5638977635782747,4,6679.959999999999,11679.46,83.75,Ship,0.7623456790123457
9e889916-7ba1-41aa-b6eb-12b29cd73a68,Los Angeles,Seattle,Electronics,7.91,353325.69,Low,100,Delayed,1,127,2.5638977635782747,1,2054.14,865.16,89.0,Rail,0.7552486187845303
ee6a393d-ef3e-47bf-91ca-dec905be6e0c,Chicago,Atlanta,Automotive,22.93,23502.64,Low,109,Delayed,1,128,2.458267716535433,1,1560.16,2262.54,108.0,Rail,0.7552486187845303
99da454a-8057-4441-91a0-551f4d4b52e1,Houston,Seattle,Food,16.46,386958.31,High,113,On-Time,0,113,2.5463258785942493,2,3399.67,4833.0,86.0,Ship,0.7623456790123457
c2068bed-51f8-4582-bb16-338bebe5a148,Houston,Atlanta,Food,16.75,251824.27,High,88,Delayed,1,95,2.5463258785942493,3,3577.9400000000005,11561.39,75.0,Rail,0.7552486187845303
b935e174-1021-4b1e-b066-d3b0b531f408,Houston,Atlanta,Electronics,27.25,282782.4,Medium,104,On-Time,1,101,2.5463258785942493,1,2773.49,293.12,140.0,Truck,0.7637579617834395
b1b76772-f3e9-4cf4-b325-a7943de74bba,Houston,Atlanta,Food,10.71,156017.15,High,106,On-Time,1,103,2.5463258785942493,1,1532.54,2232.34,142.0,Rail,0.7552486187845303
b8fcf42d-0262-4d94-b521-dce3299c784c,Los Angeles,Seattle,Automotive,31.83,216208.56,High,25,On-Time,1,21,2.5638977635782747,3,7355.59,10355.91,131.0,Truck,0.7637579617834395
5b3fbd0c-908f-4dca-b0d8-a7adb7ef5c80,Chicago,Dallas,Automotive,25.37,358083.82,Medium,80,Delayed,1,88,2.458267716535433,1,1859.36,3459.22,125.0,Ship,0.7623456790123457
9bf7c8ec-d631-44c5-a31e-f5800a85dfc4,Chicago,Seattle,Retail,37.02,390589.76,Low,73,On-Time,1,73,2.458267716535433,4,6065.21,13233.119999999999,98.25,Ship,0.7623456790123457
78b078dd-7e66-420a-a8f9-fbaa9b3005e3,Los Angeles,Seattle,Food,17.77,199682.03,High,75,On-Time,0,75,2.5638977635782747,2,2100.98,7989.41,123.0,Ship,0.7623456790123457
7aa05642-8ac0-40bc-8bbc-ad698f032b2b,Chicago,Atlanta,Food,39.4,348647.59,High,34,On-Time,1,34,2.458267716535433,2,2604.26,4208.29,52.0,Truck,0.7637579617834395
575794eb-2293-4595-acbf-938ccdd328dd,Los Angeles,Miami,Retail,25.15,136441.32,Low,53,Delayed,0,63,2.5638977635782747,3,2164.5699999999997,6296.82,120.33333333333333,Rail,0.7552486187845303
a1ba1365-d4af-43a9-8166-d814b321b34a,Houston,Miami,Electronics,39.07,417691.11,Low,69,On-Time,1,68,2.5463258785942493,2,2965.17,1762.45,168.5,Rail,0.7552486187845303
72a364aa-b02e-4b9f-aed8-3d4238afa775,Los Angeles,Seattle,Retail,5.95,308808.98,High,110,Delayed,0,130,2.5638977635782747,4,8478.93,10281.17,144.0,Ship,0.7623456790123457
bb26db86-8f26-4882-8ff4-6952ad2a837c,Houston,Atlanta,Food,30.48,389841.39,Low,38,Delayed,0,44,2.5463258785942493,3,4666.01,6746.11,101.33333333333333,Rail,0.7552486187845303
08d4aceb-659f-4a7e-afce-83a7ccfbf48b,Houston,Seattle,Electronics,33.58,243805.88,High,83,Delayed,1,102,2.5463258785942493,4,8835.08,15588.21,121.75,Rail,0.7552486187845303
6e7cefc9-a9ed-40ef-9267-868c59122f7a,New York,Seattle,Automotive,6.86,122263.55,Low,110,Delayed,1,120,2.5054095826893352,2,4027.36,9503.5,177.0,Ship,0.7623456790123457
a63d5a1f-830b-4b70-8ffb-75354e0b06a1,Los Angeles,Dallas,Automotive,25.26,220323.25,Medium,35,Delayed,1,48,2.5638977635782747,1,442.1,637.23,0.0,Rail,0.7552486187845303
2f6b0cfa-5c1d-4b6f-bbfb-999e0337defe,New York,Atlanta,Retail,33.07,196927.84,High,114,Delayed,0,120,2.5054095826893352,4,9024.74,10573.83,76.75,Truck,0.7637579617834395
104a1d50-4738-443a-970a-2291ac073cab,Los Angeles,Miami,Automotive,24.64,173031.11,Low,29,Delayed,0,53,2.5638977635782747,4,3656.64,12346.92,49.0,Rail,0.7552486187845303
b7d9760c-7fec-41e4-9afd-54527da272ae,Los Angeles,Miami,Food,7.23,113965.14,Low,117,Delayed,1,144,2.5638977635782747,2,3773.07,4510.58,155.5,Rail,0.7552486187845303
62514cbb-334f-4bd8-ad90-0a00dd7a8d87,New York,Miami,Retail,29.27,381991.9,Medium,28,On-Time,1,26,2.5054095826893352,1,850.46,601.29,13.0,Rail,0.7552486187845303
c0d2875a-fca6-44ac-843a-9dd568df8cf1,New York,Seattle,Food,7.12,52312.31,Low,69,Delayed,1,78,2.5054095826893352,1,1331.31,2163.77,57.0,Rail,0.7552486187845303
